33.30	86.33	72.41	70.00	71.72
41.50	82.03	88.51	81.00	78.85
31.10	91.53	45.98	78.00	70.97
34.10	81.23	67.82	72.00	70.14
38.90	83.23	83.91	77.00	76.44
74.80	94.20	97.70	99.00	94.88
33.70	76.87	51.72	59.00	60.37
35.00	90.27	65.52	72.00	72.48
68.10	81.90	90.80	89.00	85.15
39.10	83.30	75.86	79.00	75.67
38.70	86.53	89.66	69.00	75.36
50.00	84.40	78.16	87.00	80.76
55.40	81.80	70.11	76.00	74.50
33.10	94.67	67.82	63.00	70.48
51.10	84.40	75.86	70.00	73.61
33.10	90.97	58.62	71.00	70.73
67.20	82.30	88.51	96.00	87.51
73.10	88.30	87.36	89.00	86.88
41.10	89.83	67.82	68.00	71.83
51.90	87.30	71.26	84.00	79.22
36.30	88.23	72.41	87.00	79.39
42.20	63.47	82.76	78.00	71.01
48.30	86.90	75.86	83.00	79.28
71.30	85.43	87.36	87.00	85.03
82.00	90.47	100.00	92.00	92.15
58.10	97.33	97.70	92.00	91.36
65.70	89.90	83.91	87.00	85.12
35.20	95.27	66.67	84.00	79.03
53.70	90.70	72.41	83.00	80.26
53.90	95.43	97.70	96.00	91.96
23.50	80.90	59.77	0.00	38.58
48.30	88.63	88.51	83.00	82.32
34.10	78.13	74.71	78.00	72.99
77.40	90.10	85.06	92.00	88.58
52.00	77.97	74.71	83.00	76.74
52.40	90.37	83.91	96.00	87.53
53.10	89.57	93.10	94.00	88.41
40.60	89.67	68.97	56.00	67.15
46.10	94.20	79.31	83.00	81.93
45.40	91.87	82.76	88.00	83.85
32.80	81.37	49.43	68.00	64.78
68.90	90.97	89.66	89.00	87.71
32.60	87.50	78.16	70.00	73.14
23.90	74.67	49.43	60.00	58.68
39.30	81.97	74.71	86.00	77.86
48.90	76.23	68.97	74.00	71.15
35.40	85.90	60.92	78.00	72.69
43.50	89.37	91.95	87.00	84.35
70.90	90.60	96.55	91.00	89.98
79.10	97.87	100.00	95.00	95.27
70.80	92.67	72.41	94.00	86.96
20.00	16.70	58.62	0.00	18.73
66.40	88.37	81.61	95.00	87.47
64.80	90.90	93.10	91.00	88.77
47.30	83.40	85.06	73.00	75.97
72.10	93.03	96.55	95.00	92.43
58.00	83.93	65.52	80.00	76.08
54.10	84.83	70.11	81.00	77.29
41.10	78.93	74.71	65.00	68.73
59.80	82.17	93.10	79.00	80.86
38.90	79.80	87.36	77.00	76.10
49.70	93.67	90.80	93.00	88.43
55.60	94.30	87.36	96.00	89.72
31.30	88.47	73.56	71.00	72.78
32.30	86.00	56.32	63.00	65.50
27.00	85.27	52.87	47.00	57.65
60.40	92.70	96.55	92.00	89.96
45.90	89.13	68.97	69.00	72.72
69.90	89.53	100.00	95.00	91.85
31.00	85.80	62.07	73.00	70.45
42.20	82.77	72.41	75.00	73.53
53.90	92.77	85.06	90.00	86.24
32.30	87.70	80.46	85.00	79.64
60.70	92.97	87.36	92.00	88.24
65.00	97.60	94.25	94.00	92.23
25.00	78.67	52.87	60.00	60.67
29.70	15.47	65.52	0.00	20.71
40.70	77.03	54.02	65.00	63.98
43.50	80.97	77.01	74.00	73.64
27.90	91.50	74.71	73.00	74.38
